col1 col2
1614.09 1.02839e-13
1615.22 1.0289e-13
1616.35 1.02817e-13
1617.48 1.02627e-13
1618.61 1.02349e-13
1619.74 1.02183e-13
1620.87 1.02039e-13
1622.0 1.02078e-13
1623.13 1.02234e-13
1624.26 1.02379e-13
1625.39 1.02459e-13
1626.52 1.02189e-13
1627.65 1.02097e-13
1628.78 1.02244e-13
1629.91 1.02453e-13
1631.04 1.02546e-13
1632.17 1.02474e-13
1633.3 1.02488e-13
1634.43 1.02515e-13
1635.56 1.02634e-13
1636.69 1.02935e-13
1637.82 1.03451e-13
1638.95 1.03631e-13
1640.08 1.03624e-13
1641.21 1.03337e-13
1642.34 1.02821e-13
1643.47 1.02026e-13
1644.6 1.01177e-13
1645.73 1.0063e-13
1646.86 1.00398e-13
1647.99 1.00021e-13
1649.12 9.96299e-14
1650.25 9.95626e-14
1651.38 9.96231e-14
1652.5 9.93464e-14
1653.63 9.92941e-14
1654.76 9.94939e-14
1655.89 9.94013e-14
1657.02 9.92031e-14
1658.15 9.93945e-14
1659.28 9.94866e-14
1660.41 9.90992e-14
1661.54 9.84809e-14
1662.67 9.80768e-14
1663.8 9.82272e-14
1664.93 9.8503e-14
1666.06 9.82833e-14
1667.19 9.76963e-14
1668.32 9.7205e-14
1669.45 9.66666e-14
1670.58 9.61942e-14
1671.71 9.55479e-14
1672.84 9.49468e-14
1673.97 9.44502e-14
1675.1 9.39467e-14
1676.23 9.34697e-14
1677.36 9.31974e-14
1678.49 9.26486e-14
1679.62 9.21462e-14
1680.75 9.17622e-14
1681.88 9.15304e-14
1683.01 9.11605e-14
1684.14 9.07296e-14
1685.27 9.00707e-14
1686.4 8.96195e-14
1687.53 8.93197e-14
1688.66 8.92736e-14
1689.79 8.90094e-14
1690.92 8.87745e-14
1692.05 8.85509e-14
1693.18 8.83424e-14
1694.31 8.82596e-14
1695.44 8.83508e-14
1696.57 8.83284e-14
1697.7 8.82445e-14
1698.83 8.81995e-14
1699.96 8.80099e-14
1701.09 8.79564e-14
1702.22 8.78736e-14
1703.35 8.80104e-14
1704.48 8.80987e-14
1705.61 8.81439e-14
1706.74 8.82402e-14
1707.87 8.81645e-14
1709.0 8.80614e-14
1710.13 8.7975e-14
1711.26 8.80619e-14
1712.39 8.81408e-14
1713.52 8.82983e-14
1714.65 8.83094e-14
1715.78 8.82072e-14
